,NCTId,Phase
6213,NCT02462733,Not Applicable
8262,NCT03840096,Not Applicable
6306,NCT01948947,Not Applicable
7809,NCT01495923,Not Applicable
6220,NCT03030716,Not Applicable
7737,NCT03774602,Not Applicable
7734,NCT02847962,Not Applicable
6194,NCT04560946,Not Applicable
6195,NCT01249625,Not Applicable
6371,NCT02703948,Not Applicable
9448,NCT04195646,Not Applicable
6197,NCT02045784,Not Applicable
9615,NCT04047602,Not Applicable
9614,NCT04047836,Not Applicable
9449,NCT04195477,Not Applicable
7811,NCT04243265,Not Applicable
6204,NCT04347629,Not Applicable
9613,NCT04048590,Not Applicable
6365,NCT01403649,Not Applicable
9610,NCT04049643,Not Applicable
8257,NCT03634397,Not Applicable
9607,NCT04052503,Not Applicable
9451,NCT04192227,Not Applicable
9606,NCT04053868,Not Applicable
8320,NCT01657422,Not Applicable
9453,NCT04188535,Not Applicable
7803,NCT03250364,Not Applicable
8319,NCT04514471,Not Applicable
9568,NCT04083859,Not Applicable
9576,NCT04077190,Not Applicable
9581,NCT04073212,Not Applicable
9580,NCT04073914,Not Applicable
7796,NCT03334266,Not Applicable
6244,NCT02505035,Not Applicable
9474,NCT04164108,Not Applicable
6342,NCT03763539,Not Applicable
7795,NCT02260856,Not Applicable
9578,NCT04075682,Not Applicable
6246,NCT03883477,Not Applicable
6341,NCT03795532,Not Applicable
9582,NCT04072549,Not Applicable
6340,NCT03795545,Not Applicable
8266,NCT03584945,Not Applicable
9476,NCT04162145,Not Applicable
6251,NCT04203186,Not Applicable
9574,NCT04080414,Not Applicable
9572,NCT04080570,Not Applicable
9570,NCT04082117,Not Applicable
7750,NCT03453866,Not Applicable
8267,NCT03917979,Not Applicable
6240,NCT02421666,Not Applicable
8265,NCT03872856,Not Applicable
6350,NCT02919267,Not Applicable
9467,NCT04173572,Not Applicable
9594,NCT04058795,Not Applicable
6349,NCT03005145,Not Applicable
9593,NCT04059107,Not Applicable
7745,NCT00858988,Not Applicable
7802,NCT04484649,Not Applicable
7746,NCT04012749,Not Applicable
7800,NCT03798548,Not Applicable
6224,NCT04458350,Not Applicable
6225,NCT00989170,Not Applicable
7747,NCT01624337,Not Applicable
8264,NCT04491591,Not Applicable
6227,NCT04182659,Not Applicable
9587,NCT04068857,Not Applicable
9586,NCT04068883,Not Applicable
9472,NCT04166591,Not Applicable
6231,NCT00329706,Not Applicable
6233,NCT01092416,Not Applicable
6234,NCT01905618,Not Applicable
9585,NCT04071951,Not Applicable
9473,NCT04166240,Not Applicable
9686,NCT03996707,Not Applicable
9751,NCT03940508,Not Applicable
8207,NCT03313375,Not Applicable
7990,NCT00122447,Not Applicable
8092,NCT03481049,Not Applicable
9906,NCT03825588,Not Applicable
9905,NCT03825640,Not Applicable
5862,NCT01247974,Not Applicable
8093,NCT02952352,Not Applicable
7997,NCT02132650,Not Applicable
5865,NCT03157531,Not Applicable
9904,NCT03828370,Not Applicable
8094,NCT02825771,Not Applicable
9902,NCT03828916,Not Applicable
5867,NCT04227405,Not Applicable
5869,NCT01829997,Not Applicable
7995,NCT01686087,Not Applicable
5872,NCT00221507,Not Applicable
5873,NCT01435512,Not Applicable
5874,NCT04307420,Not Applicable
7994,NCT03537729,Not Applicable
9900,NCT03831451,Not Applicable
8097,NCT03772210,Not Applicable
9899,NCT03832478,Not Applicable
8098,NCT03582566,Not Applicable
9898,NCT03833245,Not Applicable
9897,NCT03833349,Not Applicable
9896,NCT03833713,Not Applicable
5877,NCT01941862,Not Applicable
8099,NCT00876226,Not Applicable
8100,NCT00336089,Not Applicable
5859,NCT02759328,Not Applicable
8091,NCT02337296,Not Applicable
5856,NCT01818791,Not Applicable
5843,NCT01003262,Not Applicable
9927,NCT03811444,Not Applicable
5833,NCT04132739,Not Applicable
5834,NCT04495634,Not Applicable
9926,NCT03812146,Not Applicable
8007,NCT02715206,Not Applicable
8088,NCT03893708,Not Applicable
9925,NCT03812614,Not Applicable
9924,NCT03813524,Not Applicable
5840,NCT02830945,Not Applicable
9922,NCT03814473,Not Applicable
9921,NCT03814850,Not Applicable
8089,NCT03489434,Not Applicable
8006,NCT01839708,Not Applicable
8003,NCT00483028,Not Applicable
5844,NCT00778544,Not Applicable
5846,NCT00291161,Not Applicable
9920,NCT03817970,Not Applicable
5848,NCT00778414,Not Applicable
5849,NCT02297126,Not Applicable
9917,NCT03819088,Not Applicable
8090,NCT02036905,Not Applicable
9915,NCT03819608,Not Applicable
8005,NCT01431573,Not Applicable
9913,NCT03820609,Not Applicable
9909,NCT03823209,Not Applicable
9908,NCT03823742,Not Applicable
5878,NCT00392873,Not Applicable
5880,NCT02236663,Not Applicable
8009,NCT04026295,Not Applicable
8101,NCT03887793,Not Applicable
9876,NCT03848650,Not Applicable
5905,NCT02198833,Not Applicable
5906,NCT02006433,Not Applicable
9873,NCT03849144,Not Applicable
5908,NCT01882244,Not Applicable
7975,NCT01515800,Not Applicable
8115,NCT04441307,Not Applicable
8116,NCT02424526,Not Applicable
5914,NCT01434004,Not Applicable
9871,NCT03849937,Not Applicable
9870,NCT03850600,Not Applicable
8117,NCT03730259,Not Applicable
5915,NCT01292876,Not Applicable
7971,NCT02169024,Not Applicable
9869,NCT03851016,Not Applicable
5916,NCT01239680,Not Applicable
5917,NCT01205646,Not Applicable
5918,NCT01177488,Not Applicable
8118,NCT03637296,Not Applicable
5920,NCT04021342,Not Applicable
5921,NCT02139722,Not Applicable
5922,NCT03662308,Not Applicable
5924,NCT03341000,Not Applicable
5927,NCT02798458,Not Applicable
5928,NCT01672541,Not Applicable
9866,NCT03854916,Not Applicable
5931,NCT01213914,Not Applicable
8114,NCT01683227,Not Applicable
5902,NCT02632422,Not Applicable
5901,NCT02807623,Not Applicable
9884,NCT03842670,Not Applicable
7988,NCT01980979,Not Applicable
5881,NCT02844543,Not Applicable
7987,NCT02795104,Not Applicable
9892,NCT03837522,Not Applicable
8102,NCT02219399,Not Applicable
5882,NCT01513668,Not Applicable
5883,NCT01337063,Not Applicable
9890,NCT03838510,Not Applicable
9889,NCT03839745,Not Applicable
9887,NCT03841513,Not Applicable
5889,NCT01477710,Not Applicable
9886,NCT03841864,Not Applicable
5890,NCT01477450,Not Applicable
5900,NCT03433261,Not Applicable
8106,NCT00302055,Not Applicable
5892,NCT01947179,Not Applicable
5893,NCT03453554,Not Applicable
8107,NCT04043936,Not Applicable
5895,NCT04446442,Not Applicable
8108,NCT03694418,Not Applicable
9880,NCT03845465,Not Applicable
9879,NCT03847194,Not Applicable
5897,NCT03030794,Not Applicable
8109,NCT03312387,Not Applicable
8111,NCT02759172,Not Applicable
8112,NCT02981160,Not Applicable
9928,NCT03811405,Not Applicable
8087,NCT02571478,Not Applicable
5932,NCT02181062,Not Applicable
9966,NCT03786055,Not Applicable
8051,NCT02251743,Not Applicable
5747,NCT02188563,Not Applicable
9981,NCT03775590,Not Applicable
5749,NCT02427061,Not Applicable
5750,NCT00417742,Not Applicable
8049,NCT01408147,Not Applicable
9979,NCT03777046,Not Applicable
8048,NCT02763150,Not Applicable
8046,NCT01898299,Not Applicable
9976,NCT03779269,Not Applicable
8073,NCT02184494,Not Applicable
5753,NCT00237094,Not Applicable
5754,NCT00208988,Not Applicable
9975,NCT03779997,Not Applicable
8075,NCT03874793,Not Applicable
5756,NCT01995812,Not Applicable
9973,NCT03781856,Not Applicable
5758,NCT02236390,Not Applicable
8076,NCT02967016,Not Applicable
8041,NCT02836990,Not Applicable
8040,NCT02994654,Not Applicable
8039,NCT03771417,Not Applicable
8038,NCT02407093,Not Applicable
9970,NCT03782506,Not Applicable
5765,NCT03184025,Not Applicable
8037,NCT02077907,Not Applicable
9967,NCT03785392,Not Applicable
8052,NCT02864160,Not Applicable
8053,NCT02144649,Not Applicable
5743,NCT03716505,Not Applicable
8058,NCT04464993,Not Applicable
9998,NCT03767595,Not Applicable
5712,NCT03249779,Not Applicable
5713,NCT03834025,Not Applicable
8065,NCT00599599,Not Applicable
8068,NCT04083690,Not Applicable
5716,NCT02352116,Not Applicable
5717,NCT03723928,Not Applicable
5718,NCT00440336,Not Applicable
5722,NCT00379743,Not Applicable
5723,NCT03928067,Not Applicable
8062,NCT01959217,Not Applicable
9996,NCT03768206,Not Applicable
5726,NCT00599209,Not Applicable
5742,NCT00774371,Not Applicable
5729,NCT01195220,Not Applicable
9993,NCT03769727,Not Applicable
5731,NCT02789215,Not Applicable
9991,NCT03770377,Not Applicable
9989,NCT03771235,Not Applicable
5734,NCT02739464,Not Applicable
5735,NCT01987830,Not Applicable
8055,NCT01818739,Not Applicable
5736,NCT02147522,Not Applicable
8054,NCT01147614,Not Applicable
9984,NCT03773419,Not Applicable
5741,NCT01014533,Not Applicable
5767,NCT02044484,Not Applicable
8036,NCT01505257,Not Applicable
5830,NCT04316429,Not Applicable
5769,NCT03266003,Not Applicable
5806,NCT03980808,Not Applicable
9951,NCT03796286,Not Applicable
5807,NCT04173806,Not Applicable
9950,NCT03796559,Not Applicable
5809,NCT02553291,Not Applicable
8018,NCT04075877,Not Applicable
5811,NCT03581565,Not Applicable
5812,NCT03111550,Not Applicable
9948,NCT03797898,Not Applicable
5816,NCT02496962,Not Applicable
8081,NCT02371317,Not Applicable
5818,NCT01272284,Not Applicable
5819,NCT00651794,Not Applicable
9946,NCT03799640,Not Applicable
9944,NCT03800927,Not Applicable
8084,NCT02858778,Not Applicable
9941,NCT03803488,Not Applicable
9939,NCT03803683,Not Applicable
8014,NCT03176004,Not Applicable
8085,NCT01052220,Not Applicable
5826,NCT04515069,Not Applicable
5827,NCT04181034,Not Applicable
8013,NCT02193984,Not Applicable
8011,NCT03896165,Not Applicable
8010,NCT03736382,Not Applicable
5828,NCT03411577,Not Applicable
9933,NCT03807635,Not Applicable
5805,NCT01967654,Not Applicable
9952,NCT03796065,Not Applicable
9953,NCT03795701,Not Applicable
8026,NCT01929122,Not Applicable
8033,NCT03625570,Not Applicable
8032,NCT04080128,Not Applicable
9962,NCT03788486,Not Applicable
8031,NCT02255474,Not Applicable
5772,NCT03828708,Not Applicable
5774,NCT03336255,Not Applicable
5775,NCT04504604,Not Applicable
5776,NCT01480193,Not Applicable
5778,NCT01841983,Not Applicable
9959,NCT03792698,Not Applicable
8027,NCT01515072,Not Applicable
5783,NCT00156351,Not Applicable
8025,NCT01025674,Not Applicable
5802,NCT03198156,Not Applicable
5784,NCT03067649,Not Applicable
5785,NCT03634527,Not Applicable
8024,NCT03343106,Not Applicable
9956,NCT03794102,Not Applicable
8022,NCT02160847,Not Applicable
8079,NCT01167270,Not Applicable
5793,NCT03913715,Not Applicable
9955,NCT03795051,Not Applicable
5797,NCT04073901,Not Applicable
8020,NCT02162927,Not Applicable
9954,NCT03795168,Not Applicable
5800,NCT00694551,Not Applicable
9865,NCT03855410,Not Applicable
8121,NCT04007913,Not Applicable
9687,NCT03995979,Not Applicable
9722,NCT03966872,Not Applicable
7890,NCT02271074,Not Applicable
9744,NCT03945383,Not Applicable
7888,NCT03135366,Not Applicable
9743,NCT03945474,Not Applicable
6054,NCT02378025,Not Applicable
6057,NCT02339220,Not Applicable
6058,NCT02318979,Not Applicable
7887,NCT03371186,Not Applicable
9740,NCT03948139,Not Applicable
9738,NCT03951610,Not Applicable
9737,NCT03951883,Not Applicable
7886,NCT03880006,Not Applicable
6063,NCT02168114,Not Applicable
9735,NCT03954392,Not Applicable
7885,NCT03944395,Not Applicable
8179,NCT03446833,Not Applicable
9734,NCT03954977,Not Applicable
6068,NCT02023996,Not Applicable
6069,NCT02019927,Not Applicable
7884,NCT01779414,Not Applicable
9730,NCT03961633,Not Applicable
6071,NCT02006368,Not Applicable
7880,NCT03511443,Not Applicable
6073,NCT01879696,Not Applicable
9725,NCT03963908,Not Applicable
9724,NCT03964454,Not Applicable
7875,NCT02017548,Not Applicable
7891,NCT02071563,Not Applicable
7892,NCT01389219,Not Applicable
6049,NCT02605876,Not Applicable
9763,NCT03931772,Not Applicable
6028,NCT03197896,Not Applicable
6029,NCT03197675,Not Applicable
8171,NCT01856049,Not Applicable
8172,NCT01846845,Not Applicable
9768,NCT03928041,Not Applicable
6031,NCT03123224,Not Applicable
6032,NCT03110302,Not Applicable
6033,NCT03097978,Not Applicable
8173,NCT01839123,Not Applicable
7896,NCT03124277,Not Applicable
9764,NCT03931746,Not Applicable
6036,NCT03023644,Not Applicable
7895,NCT00002306,Not Applicable
6431,NCT02507882,Not Applicable
7894,NCT00002074,Not Applicable
7893,NCT00002305,Not Applicable
6039,NCT02935621,Not Applicable
9755,NCT03937531,Not Applicable
6041,NCT02881944,Not Applicable
6043,NCT02773056,Not Applicable
6044,NCT02721680,Not Applicable
9754,NCT03938077,Not Applicable
9753,NCT03938103,Not Applicable
6046,NCT02657135,Not Applicable
6047,NCT02634944,Not Applicable
6048,NCT02611375,Not Applicable
7874,NCT01906515,Not Applicable
6077,NCT01828983,Not Applicable
6026,NCT03230903,Not Applicable
8185,NCT02266576,Not Applicable
7863,NCT02103296,Not Applicable
8198,NCT02313181,Not Applicable
6097,NCT01547325,Not Applicable
6098,NCT01525680,Not Applicable
7861,NCT03862963,Not Applicable
9696,NCT03985852,Not Applicable
9695,NCT03989492,Not Applicable
9694,NCT03990389,Not Applicable
6102,NCT01466127,Not Applicable
7860,NCT04465708,Not Applicable
7859,NCT04137250,Not Applicable
6108,NCT01419613,Not Applicable
8199,NCT03057119,Not Applicable
9691,NCT03993041,Not Applicable
6110,NCT01373489,Not Applicable
8200,NCT00542113,Not Applicable
7857,NCT02697422,Not Applicable
8202,NCT03278340,Not Applicable
8203,NCT03865758,Not Applicable
9690,NCT03993210,Not Applicable
9689,NCT03993886,Not Applicable
6114,NCT01345591,Not Applicable
6115,NCT01339208,Not Applicable
9688,NCT03995316,Not Applicable
8204,NCT04189523,Not Applicable
7854,NCT03014414,Not Applicable
8205,NCT03181022,Not Applicable
9698,NCT03984994,Not Applicable
7864,NCT03328572,Not Applicable
9699,NCT03984929,Not Applicable
7866,NCT03823898,Not Applicable
6078,NCT01822301,Not Applicable
9720,NCT03969589,Not Applicable
8186,NCT01343056,Not Applicable
6079,NCT01820455,Not Applicable
7872,NCT04027218,Not Applicable
6080,NCT01810276,Not Applicable
9719,NCT03970512,Not Applicable
8187,NCT02025439,Not Applicable
6082,NCT01760785,Not Applicable
9716,NCT03975465,Not Applicable
6083,NCT01758224,Not Applicable
7867,NCT00933270,Not Applicable
9710,NCT03979846,Not Applicable
6092,NCT01633892,Not Applicable
6084,NCT01751737,Not Applicable
9709,NCT03979885,Not Applicable
8190,NCT04501536,Not Applicable
8194,NCT01492738,Not Applicable
6086,NCT01714349,Not Applicable
9707,NCT03980743,Not Applicable
8196,NCT00170079,Not Applicable
6087,NCT01701388,Not Applicable
9702,NCT03982342,Not Applicable
9701,NCT03983681,Not Applicable
6090,NCT01645722,Not Applicable
9700,NCT03984409,Not Applicable
9772,NCT03924557,Not Applicable
7901,NCT02359097,Not Applicable
9864,NCT03856034,Not Applicable
5978,NCT04515212,Not Applicable
5957,NCT02267187,Not Applicable
9839,NCT03874351,Not Applicable
5959,NCT00962403,Not Applicable
5960,NCT04120584,Not Applicable
5961,NCT04073225,Not Applicable
5963,NCT01559688,Not Applicable
9838,NCT03874507,Not Applicable
9837,NCT03874637,Not Applicable
9834,NCT03875339,Not Applicable
9831,NCT03877003,Not Applicable
8135,NCT01223404,Not Applicable
5966,NCT00847574,Not Applicable
5967,NCT02632552,Not Applicable
9829,NCT03878745,Not Applicable
9828,NCT03878758,Not Applicable
8136,NCT02566317,Not Applicable
9826,NCT03881098,Not Applicable
9824,NCT03881267,Not Applicable
5969,NCT03763747,Not Applicable
5970,NCT02477124,Not Applicable
5971,NCT04162847,Not Applicable
8137,NCT00760812,Not Applicable
9821,NCT03881891,Not Applicable
5972,NCT03029884,Not Applicable
8138,NCT01184755,Not Applicable
8140,NCT03205709,Not Applicable
5976,NCT04571008,Not Applicable
9842,NCT03873259,Not Applicable
5956,NCT02253147,Not Applicable
9843,NCT03869216,Not Applicable
9854,NCT03864965,Not Applicable
9863,NCT03858777,Not Applicable
5938,NCT02319967,Not Applicable
5940,NCT00323921,Not Applicable
7965,NCT02865187,Not Applicable
5942,NCT03725332,Not Applicable
9861,NCT03861832,Not Applicable
9858,NCT03863353,Not Applicable
9857,NCT03863522,Not Applicable
9856,NCT03863743,Not Applicable
5945,NCT03685058,Not Applicable
9855,NCT03864146,Not Applicable
8123,NCT01980771,Not Applicable
5946,NCT04210076,Not Applicable
9844,NCT03867877,Not Applicable
5947,NCT00542204,Not Applicable
5949,NCT01011348,Not Applicable
5950,NCT03526146,Not Applicable
9852,NCT03865381,Not Applicable
5952,NCT00480779,Not Applicable
9851,NCT03865979,Not Applicable
7958,NCT03991182,Not Applicable
9850,NCT03866005,Not Applicable
9849,NCT03866616,Not Applicable
9848,NCT03867045,Not Applicable
9847,NCT03867344,Not Applicable
5955,NCT04255953,Not Applicable
5977,NCT04517994,Not Applicable
8144,NCT02140775,Not Applicable
7902,NCT02848235,Not Applicable
7935,NCT03567018,Not Applicable
6000,NCT03851406,Not Applicable
9788,NCT03912363,Not Applicable
9787,NCT03913169,Not Applicable
7911,NCT01072279,Not Applicable
6001,NCT03803332,Not Applicable
6003,NCT03769259,Not Applicable
9785,NCT03913494,Not Applicable
6006,NCT03708276,Not Applicable
9784,NCT03914469,Not Applicable
6009,NCT03668873,Not Applicable
9782,NCT03915015,Not Applicable
9781,NCT03916809,Not Applicable
9779,NCT03917160,Not Applicable
7910,NCT01856673,Not Applicable
7908,NCT03271307,Not Applicable
6013,NCT03551678,Not Applicable
7907,NCT03455127,Not Applicable
6015,NCT03530163,Not Applicable
7904,NCT04119375,Not Applicable
6017,NCT03423394,Not Applicable
6018,NCT03418129,Not Applicable
6020,NCT03390335,Not Applicable
9776,NCT03921814,Not Applicable
8167,NCT03523507,Not Applicable
8168,NCT01958437,Not Applicable
7903,NCT04216030,Not Applicable
9774,NCT03922529,Not Applicable
9791,NCT03908996,Not Applicable
9792,NCT03907917,Not Applicable
9797,NCT03904420,Not Applicable
5992,NCT04001790,Not Applicable
5981,NCT04356859,Not Applicable
9816,NCT03884374,Not Applicable
5982,NCT04293016,Not Applicable
5983,NCT04275973,Not Applicable
5985,NCT04232670,Not Applicable
8151,NCT01545934,Not Applicable
9812,NCT03890471,Not Applicable
8155,NCT00389493,Not Applicable
5988,NCT04140708,Not Applicable
9809,NCT03897140,Not Applicable
8158,NCT00045903,Not Applicable
5990,NCT04051242,Not Applicable
7924,NCT02615470,Not Applicable
8161,NCT03569059,Not Applicable
9807,NCT03898115,Not Applicable
7923,NCT02348645,Not Applicable
5993,NCT03984487,Not Applicable
5994,NCT03927404,Not Applicable
5996,NCT03900845,Not Applicable
5997,NCT03898271,Not Applicable
9805,NCT03899181,Not Applicable
7916,NCT01006018,Not Applicable
9799,NCT03904043,Not Applicable
9798,NCT03904407,Not Applicable
8160,NCT01401023,Not Applicable
5998,NCT03873610,Not Applicable
9397,NCT04235751,Not Applicable
8671,NCT04042909,Not Applicable
6432,NCT02134847,Not Applicable
6956,NCT01806987,Not Applicable
6957,NCT01795079,Not Applicable
6959,NCT01599767,Not Applicable
6960,NCT01593189,Not Applicable
6961,NCT01548781,Not Applicable
6963,NCT01394874,Not Applicable
7422,NCT02629068,Not Applicable
7420,NCT00201006,Not Applicable
7419,NCT03713970,Not Applicable
6964,NCT01387100,Not Applicable
6965,NCT01207375,Not Applicable
6966,NCT01119001,Not Applicable
8540,NCT01557621,Not Applicable
8865,NCT03256110,Not Applicable
8864,NCT01496378,Not Applicable
6968,NCT01056146,Not Applicable
6969,NCT00989430,Not Applicable
6970,NCT00988104,Not Applicable
8541,NCT03199196,Not Applicable
8863,NCT02926677,Not Applicable
8542,NCT00981253,Not Applicable
6971,NCT00924976,Not Applicable
6972,NCT00735670,Not Applicable
8862,NCT00542360,Not Applicable
8543,NCT03674944,Not Applicable
6974,NCT00621751,Not Applicable
6975,NCT00618566,Not Applicable
8860,NCT03945552,Not Applicable
7424,NCT01768650,Not Applicable
6954,NCT01894464,Not Applicable
8545,NCT04580810,Not Applicable
6953,NCT01920243,Not Applicable
6941,NCT01707030,Not Applicable
8536,NCT02290938,Not Applicable
8881,NCT03241732,Not Applicable
8880,NCT03600532,Not Applicable
6943,NCT04251091,Not Applicable
8879,NCT01764698,Not Applicable
8878,NCT01021644,Not Applicable
6944,NCT03521856,Not Applicable
6945,NCT03433599,Not Applicable
8877,NCT02734667,Not Applicable
8537,NCT02328690,Not Applicable
7430,NCT02630225,Not Applicable
6946,NCT03298724,Not Applicable
6947,NCT03262766,Not Applicable
6948,NCT02340026,Not Applicable
7428,NCT02216812,Not Applicable
8875,NCT04019977,Not Applicable
8066,NCT02197390,Not Applicable
8874,NCT01216891,Not Applicable
8873,NCT00759746,Not Applicable
7427,NCT02345434,Not Applicable
7426,NCT02467933,Not Applicable
6949,NCT02223728,Not Applicable
6950,NCT02150668,Not Applicable
6951,NCT02128152,Not Applicable
6952,NCT02104622,Not Applicable
8538,NCT04170062,Not Applicable
8544,NCT03267043,Not Applicable
6977,NCT00485914,Not Applicable
7372,NCT03952182,Not Applicable
7007,NCT03321292,Not Applicable
7392,NCT01611350,Not Applicable
8563,NCT03398902,Not Applicable
8564,NCT02835495,Not Applicable
8565,NCT01307137,Not Applicable
8567,NCT02906241,Not Applicable
7010,NCT01894230,Not Applicable
8571,NCT03001024,Not Applicable
8572,NCT02189876,Not Applicable
8573,NCT03574974,Not Applicable
8576,NCT02553161,Not Applicable
8578,NCT02765906,Not Applicable
8831,NCT03727815,Not Applicable
8830,NCT02823262,Not Applicable
7013,NCT04581317,Not Applicable
7014,NCT03462758,Not Applicable
8579,NCT01428258,Not Applicable
7015,NCT00942890,Not Applicable
8829,NCT02871921,Not Applicable
8827,NCT02853149,Not Applicable
7018,NCT01992263,Not Applicable
8580,NCT01859000,Not Applicable
7378,NCT02907697,Not Applicable
7377,NCT02975596,Not Applicable
7375,NCT01049516,Not Applicable
8823,NCT04407767,Not Applicable
7374,NCT04372797,Not Applicable
8822,NCT02905929,Not Applicable
8562,NCT01975857,Not Applicable
8561,NCT03622697,Not Applicable
6980,NCT00283855,Not Applicable
7395,NCT03758846,Not Applicable
8857,NCT03454022,Not Applicable
8550,NCT01839396,Not Applicable
6982,NCT00233129,Not Applicable
8856,NCT03905720,Not Applicable
6985,NCT00211835,Not Applicable
8853,NCT01156610,Not Applicable
7409,NCT03168776,Not Applicable
8850,NCT01435603,Not Applicable
6989,NCT00167271,Not Applicable
8849,NCT02043496,Not Applicable
7408,NCT03329404,Not Applicable
8556,NCT00644566,Not Applicable
6991,NCT01594008,Not Applicable
8846,NCT03471221,Not Applicable
8845,NCT04149639,Not Applicable
6992,NCT04122326,Not Applicable
8557,NCT03281161,Not Applicable
6993,NCT04043715,Not Applicable
6995,NCT02807506,Not Applicable
7404,NCT01399099,Not Applicable
8842,NCT03592771,Not Applicable
8559,NCT04051229,Not Applicable
7003,NCT03398395,Not Applicable
7401,NCT01670708,Not Applicable
7396,NCT01158976,Not Applicable
8837,NCT03784846,Not Applicable
8836,NCT02325128,Not Applicable
6939,NCT02080923,Not Applicable
7433,NCT01654094,Not Applicable
6938,NCT03339648,Not Applicable
8956,NCT03611660,Not Applicable
8954,NCT04331366,Not Applicable
8953,NCT04606966,Not Applicable
8951,NCT03197454,Not Applicable
6883,NCT03137953,Not Applicable
6884,NCT03039465,Not Applicable
8949,NCT02459327,Not Applicable
8948,NCT04571502,Not Applicable
8945,NCT02743039,Not Applicable
8944,NCT03869970,Not Applicable
8504,NCT01618461,Not Applicable
6888,NCT00253643,Not Applicable
8943,NCT03935048,Not Applicable
8942,NCT01566461,Not Applicable
6892,NCT01825226,Not Applicable
8940,NCT01878175,Not Applicable
6893,NCT01178840,Not Applicable
8507,NCT00014950,Not Applicable
6894,NCT02118454,Not Applicable
8939,NCT04475718,Not Applicable
6896,NCT03736395,Not Applicable
8938,NCT03890029,Not Applicable
7478,NCT00722280,Not Applicable
6897,NCT00999453,Not Applicable
6898,NCT03545217,Not Applicable
6900,NCT04336397,Not Applicable
7476,NCT03432325,Not Applicable
6901,NCT02263001,Not Applicable
8955,NCT02290223,Not Applicable
8958,NCT03410823,Not Applicable
7434,NCT01628718,Not Applicable
7481,NCT03822611,Not Applicable
8981,NCT04606030,Not Applicable
7492,NCT00310726,Not Applicable
8978,NCT04608773,Not Applicable
8494,NCT01264718,Not Applicable
8976,NCT04437069,Not Applicable
7491,NCT01052584,Not Applicable
6866,NCT03760497,Not Applicable
8971,NCT04182334,Not Applicable
6869,NCT01183520,Not Applicable
6871,NCT03649191,Not Applicable
6872,NCT02679937,Not Applicable
7490,NCT01235247,Not Applicable
8497,NCT02700542,Not Applicable
8498,NCT02224352,Not Applicable
8968,NCT03185546,Not Applicable
8967,NCT03032159,Not Applicable
8966,NCT03149185,Not Applicable
8499,NCT00993590,Not Applicable
6877,NCT02760537,Not Applicable
6878,NCT01209910,Not Applicable
7487,NCT02903602,Not Applicable
8501,NCT03582683,Not Applicable
8965,NCT02728076,Not Applicable
7485,NCT03397420,Not Applicable
7482,NCT03585361,Not Applicable
8962,NCT04066894,Not Applicable
8960,NCT03595748,Not Applicable
6902,NCT02847117,Not Applicable
6904,NCT02011789,Not Applicable
6905,NCT01751230,Not Applicable
8932,NCT03951064,Not Applicable
6918,NCT02079116,Not Applicable
6919,NCT02072694,Not Applicable
7444,NCT02045511,Not Applicable
8900,NCT01594632,Not Applicable
8899,NCT01721798,Not Applicable
6922,NCT01829620,Not Applicable
8528,NCT01978080,Not Applicable
6924,NCT02129361,Not Applicable
8529,NCT02080975,Not Applicable
8897,NCT01797159,Not Applicable
6927,NCT03936582,Not Applicable
8892,NCT01748994,Not Applicable
8891,NCT00773617,Not Applicable
8890,NCT03422367,Not Applicable
8888,NCT03383848,Not Applicable
8533,NCT02605200,Not Applicable
7438,NCT04043182,Not Applicable
8887,NCT03796208,Not Applicable
8886,NCT02522923,Not Applicable
8534,NCT01908517,Not Applicable
7436,NCT03177577,Not Applicable
6934,NCT01574495,Not Applicable
8884,NCT02624193,Not Applicable
6935,NCT04522973,Not Applicable
8535,NCT00626457,Not Applicable
6936,NCT03826303,Not Applicable
6937,NCT03488875,Not Applicable
6915,NCT03820947,Not Applicable
7448,NCT01653535,Not Applicable
8906,NCT02564341,Not Applicable
8920,NCT02165735,Not Applicable
8508,NCT01182727,Not Applicable
8931,NCT03895021,Not Applicable
7475,NCT01304407,Not Applicable
7472,NCT03412136,Not Applicable
8926,NCT02470754,Not Applicable
8925,NCT04068662,Not Applicable
7470,NCT00902798,Not Applicable
8922,NCT03859011,Not Applicable
8921,NCT03687086,Not Applicable
6909,NCT04442620,Not Applicable
8510,NCT04473729,Not Applicable
6910,NCT01229748,Not Applicable
7467,NCT04116463,Not Applicable
7449,NCT02878382,Not Applicable
7465,NCT01212029,Not Applicable
7463,NCT02320903,Not Applicable
6912,NCT03952949,Not Applicable
6913,NCT03248583,Not Applicable
7462,NCT00878150,Not Applicable
7461,NCT01583127,Not Applicable
7460,NCT01363245,Not Applicable
8516,NCT02133209,Not Applicable
8517,NCT01240993,Not Applicable
8909,NCT03609671,Not Applicable
8520,NCT04258332,Not Applicable
7450,NCT01487434,Not Applicable
7373,NCT01170546,Not Applicable
7371,NCT03882515,Not Applicable
6434,NCT02991664,Not Applicable
8637,NCT03608085,Not Applicable
7268,NCT02993458,Not Applicable
7132,NCT02022904,Not Applicable
8709,NCT02022423,Not Applicable
8708,NCT01941810,Not Applicable
7266,NCT01399138,Not Applicable
7265,NCT01888848,Not Applicable
7264,NCT02075307,Not Applicable
8705,NCT02295059,Not Applicable
7263,NCT04589377,Not Applicable
