,NCTId,DesignPrimaryPurpose
8174,NCT02992522,Treatment
5343,NCT00437827,Treatment
2149,NCT00751179,Treatment
6544,NCT03503695,Treatment
8170,NCT00417976,Treatment
8169,NCT01535924,Treatment
2155,NCT00363038,Treatment
8168,NCT01958437,Treatment
2158,NCT02301455,Treatment
8167,NCT03523507,Treatment
8166,NCT02303392,Treatment
5353,NCT03880812,Treatment
5355,NCT02141113,Treatment
5337,NCT03589703,Treatment
6533,NCT03813238,Treatment
8196,NCT00170079,Treatment
6534,NCT04545385,Treatment
5363,NCT03756454,Treatment
2099,NCT03377621,Treatment
5364,NCT01702311,Treatment
2097,NCT03327831,Treatment
6532,NCT03893825,Treatment
2121,NCT03518294,Treatment
2094,NCT00123825,Treatment
6531,NCT03965091,Treatment
2092,NCT00307957,Treatment
5368,NCT02529280,Treatment
5369,NCT02954978,Treatment
5370,NCT02201212,Treatment
8195,NCT00004494,Treatment
8194,NCT01492738,Treatment
8193,NCT04470544,Treatment
6536,NCT01746979,Treatment
8191,NCT01889758,Treatment
2108,NCT01403428,Treatment
8190,NCT04501536,Treatment
2110,NCT01350336,Treatment
6537,NCT00916656,Treatment
2112,NCT01164644,Treatment
2113,NCT03597516,Treatment
8189,NCT01996865,Treatment
5359,NCT01133275,Treatment
2116,NCT00865358,Treatment
8187,NCT02025439,Treatment
5358,NCT04236804,Treatment
6539,NCT00648544,Treatment
8165,NCT00320749,Treatment
8164,NCT00482963,Treatment
1946,NCT02836418,Treatment
8143,NCT03246113,Treatment
8139,NCT03711500,Treatment
2214,NCT00124904,Treatment
8140,NCT03205709,Treatment
8142,NCT02853435,Treatment
2211,NCT02934191,Treatment
2210,NCT03168425,Treatment
8144,NCT02140775,Treatment
8150,NCT00568308,Treatment
2207,NCT00465959,Treatment
8145,NCT01141049,Treatment
8146,NCT00004084,Treatment
8148,NCT03168529,Treatment
8149,NCT00017199,Treatment
2201,NCT00456248,Treatment
2216,NCT04031729,Treatment
2217,NCT01592383,Treatment
6548,NCT02889640,Treatment
2219,NCT03699930,Treatment
5329,NCT02638090,Treatment
2221,NCT03148262,Treatment
8138,NCT01184755,Treatment
2223,NCT02179788,Treatment
2224,NCT00924508,Treatment
2225,NCT03236155,Treatment
8137,NCT00760812,Treatment
5328,NCT01038323,Treatment
2228,NCT00572052,Treatment
5326,NCT03048500,Treatment
2230,NCT01299896,Treatment
2231,NCT01737762,Treatment
5325,NCT02086630,Treatment
2200,NCT00121355,Treatment
2198,NCT02079701,Treatment
5336,NCT02879006,Treatment
8158,NCT00045903,Treatment
8154,NCT00738920,Treatment
8155,NCT00389493,Treatment
8156,NCT00427128,Treatment
2175,NCT00000938,Treatment
2174,NCT00001101,Treatment
8157,NCT03353922,Treatment
8159,NCT02256085,Treatment
2197,NCT01357551,Treatment
2170,NCT00469625,Treatment
8160,NCT01401023,Treatment
2168,NCT02930941,Treatment
8161,NCT03569059,Treatment
5335,NCT04399889,Treatment
8162,NCT04390243,Treatment
2179,NCT00252213,Treatment
2180,NCT03420638,Treatment
2181,NCT03723603,Treatment
2182,NCT03723577,Treatment
2183,NCT02638168,Treatment
2184,NCT03606460,Treatment
2185,NCT02257346,Treatment
2186,NCT03642275,Treatment
8153,NCT03097016,Treatment
8152,NCT01812005,Treatment
2190,NCT00308763,Treatment
2191,NCT00452582,Treatment
6546,NCT00513643,Treatment
2193,NCT03709823,Treatment
2194,NCT02762370,Treatment
2195,NCT00346580,Treatment
2196,NCT00314158,Treatment
5371,NCT03529422,Treatment
2087,NCT00363857,Treatment
5372,NCT04431063,Treatment
5407,NCT03795233,Treatment
5405,NCT02839915,Treatment
8248,NCT02637427,Treatment
8250,NCT01742338,Treatment
8251,NCT01649947,Treatment
1993,NCT03252951,Treatment
6521,NCT04032171,Treatment
8252,NCT01417286,Treatment
8258,NCT00067353,Treatment
5410,NCT03542084,Treatment
8253,NCT02812147,Treatment
8254,NCT01250938,Treatment
1986,NCT03568331,Treatment
1985,NCT04140695,Treatment
1984,NCT01999322,Treatment
1998,NCT03711630,Treatment
5404,NCT01921309,Treatment
2000,NCT02050113,Treatment
5402,NCT01973608,Treatment
6522,NCT04032158,Treatment
2003,NCT03964974,Treatment
5400,NCT01235793,Treatment
2005,NCT01750294,Treatment
8245,NCT03112720,Treatment
5399,NCT00178802,Treatment
8242,NCT04492462,Treatment
8241,NCT00332228,Treatment
5398,NCT00814502,Treatment
2011,NCT02500836,Treatment
8240,NCT01658228,Treatment
2013,NCT00895635,Treatment
5395,NCT03224507,Treatment
8257,NCT03634397,Treatment
1980,NCT03005639,Treatment
2085,NCT03246126,Treatment
1954,NCT00714168,Treatment
8267,NCT03917979,Treatment
1959,NCT02748889,Treatment
1958,NCT00313001,Treatment
5416,NCT02919306,Treatment
1956,NCT00668941,Treatment
5417,NCT03431831,Treatment
1953,NCT03153202,Treatment
8259,NCT00514449,Treatment
1952,NCT00239915,Treatment
5418,NCT02031328,Treatment
5420,NCT03815214,Treatment
1949,NCT00610480,Treatment
8272,NCT00874575,Treatment
8273,NCT03069352,Treatment
8266,NCT03584945,Treatment
8265,NCT03872856,Treatment
8263,NCT00079456,Treatment
1965,NCT03072511,Treatment
1966,NCT00278772,Treatment
1967,NCT01188473,Treatment
1968,NCT03009019,Treatment
1969,NCT00929071,Treatment
1970,NCT01044108,Treatment
8262,NCT03840096,Treatment
8261,NCT03223337,Treatment
1973,NCT03006276,Treatment
1974,NCT00790803,Treatment
8260,NCT00515177,Treatment
5414,NCT02157597,Treatment
1977,NCT01327963,Treatment
5412,NCT04429789,Treatment
8239,NCT00736268,Treatment
5394,NCT02086864,Treatment
2017,NCT02349893,Treatment
2061,NCT04326036,Treatment
2067,NCT01438307,Treatment
2066,NCT02043574,Treatment
5377,NCT00248092,Treatment
2064,NCT02056340,Treatment
2063,NCT02323399,Treatment
6529,NCT04458857,Treatment
2060,NCT03982602,Treatment
6524,NCT01969903,Treatment
2059,NCT04275297,Treatment
2058,NCT01987115,Treatment
2057,NCT00797953,Treatment
2056,NCT00916539,Treatment
2055,NCT02859142,Treatment
6528,NCT04464707,Treatment
8215,NCT02147613,Treatment
2069,NCT00225862,Treatment
2070,NCT03492229,Treatment
8214,NCT03557294,Treatment
8213,NCT01880372,Treatment
2073,NCT00133198,Treatment
8211,NCT01882439,Treatment
5376,NCT02452853,Treatment
2076,NCT04598828,Treatment
8207,NCT03313375,Treatment
8206,NCT00520208,Treatment
5375,NCT02771925,Treatment
2080,NCT02516332,Treatment
5374,NCT03971448,Treatment
2082,NCT03844412,Treatment
2083,NCT02455011,Treatment
8203,NCT03865758,Treatment
5382,NCT00741091,Treatment
8219,NCT00968773,Treatment
2051,NCT00142792,Treatment
2034,NCT00954681,Treatment
6525,NCT03848806,Treatment
2020,NCT02352259,Treatment
2021,NCT02291133,Treatment
8234,NCT00176462,Treatment
8233,NCT03130699,Treatment
2025,NCT00665665,Treatment
2026,NCT01589523,Treatment
2027,NCT02741284,Treatment
8232,NCT01811940,Treatment
8231,NCT02255357,Treatment
8230,NCT03344419,Treatment
8228,NCT00879996,Treatment
2032,NCT01354613,Treatment
2033,NCT01511640,Treatment
2035,NCT03978234,Treatment
6527,NCT02845700,Treatment
2036,NCT03342196,Treatment
8226,NCT03810365,Treatment
6526,NCT03069144,Treatment
2039,NCT00415558,Treatment
2040,NCT02572505,Treatment
5388,NCT01617083,Treatment
2042,NCT01630551,Treatment
2043,NCT01064011,Treatment
8223,NCT00775476,Treatment
5387,NCT01438775,Treatment
2046,NCT01118585,Treatment
2047,NCT03341078,Treatment
8222,NCT00220714,Treatment
5386,NCT01846793,Treatment
1666,NCT02239627,Treatment
1687,NCT01401244,Treatment
8432,NCT01698112,Treatment
8613,NCT01312181,Treatment
5632,NCT03440450,Treatment
1323,NCT02387203,Treatment
1322,NCT00121316,Treatment
8612,NCT01502761,Treatment
1320,NCT03088111,Treatment
1319,NCT02369614,Treatment
8614,NCT00253448,Treatment
1309,NCT00263887,Treatment
1316,NCT02207608,Treatment
6374,NCT02394600,Treatment
5634,NCT00958022,Treatment
8615,NCT01644812,Treatment
1312,NCT00220805,Treatment
1311,NCT02794116,Treatment
1325,NCT00662012,Treatment
1326,NCT00232011,Treatment
1327,NCT00231998,Treatment
1328,NCT00657618,Treatment
8611,NCT03653637,Treatment
1330,NCT00490841,Treatment
1331,NCT04532788,Treatment
5630,NCT01410084,Treatment
5629,NCT00076557,Treatment
1334,NCT03321474,Treatment
5628,NCT03746769,Treatment
1336,NCT01992185,Treatment
1337,NCT01916629,Treatment
6378,NCT02634502,Treatment
1339,NCT03215615,Treatment
5626,NCT03107546,Treatment
5624,NCT01847495,Treatment
8616,NCT03854032,Treatment
1308,NCT04274959,Treatment
6381,NCT03214549,Treatment
6370,NCT01807546,Treatment
6371,NCT02703948,Treatment
8623,NCT04313504,Treatment
1287,NCT00220779,Treatment
8624,NCT04207060,Treatment
1285,NCT00139581,Treatment
5642,NCT04103164,Treatment
1282,NCT02920398,Treatment
5636,NCT00680693,Treatment
1281,NCT04594109,Treatment
5645,NCT02655458,Treatment
8626,NCT01841333,Treatment
8627,NCT01007552,Treatment
8628,NCT00000398,Treatment
8629,NCT01700036,Treatment
1290,NCT00121147,Treatment
1291,NCT02517671,Treatment
1292,NCT00219323,Treatment
1293,NCT02052310,Treatment
1294,NCT00220740,Treatment
1295,NCT00150059,Treatment
6372,NCT00996281,Treatment
6373,NCT04396717,Treatment
5638,NCT02255162,Treatment
5637,NCT03822403,Treatment
8621,NCT04563520,Treatment
1301,NCT00847483,Treatment
8620,NCT00460278,Treatment
8619,NCT01703507,Treatment
1304,NCT03530020,Treatment
8618,NCT02538614,Treatment
8617,NCT03219307,Treatment
5623,NCT00573924,Treatment
1344,NCT01599598,Treatment
1413,NCT03591510,Treatment
1388,NCT02940717,Treatment
8587,NCT01800318,Treatment
1663,NCT03575468,Treatment
1392,NCT03713918,Treatment
6388,NCT02195570,Treatment
1390,NCT00539357,Treatment
6387,NCT03516838,Treatment
5614,NCT01591733,Treatment
1379,NCT00907972,Treatment
8590,NCT00245453,Treatment
8591,NCT00490945,Treatment
8593,NCT03317795,Treatment
1383,NCT02030522,Treatment
5615,NCT02494167,Treatment
1381,NCT01240902,Treatment
1395,NCT03904186,Treatment
1396,NCT03594292,Treatment
6389,NCT00000174,Treatment
5608,NCT02475707,Treatment
6393,NCT02294357,Treatment
1400,NCT00652574,Treatment
5605,NCT02759185,Treatment
8584,NCT01481779,Treatment
1403,NCT00006604,Treatment
8581,NCT00266864,Treatment
1405,NCT02496221,Treatment
1406,NCT02601469,Treatment
1407,NCT03430310,Treatment
1408,NCT02151955,Treatment
1409,NCT00068367,Treatment
1410,NCT02156336,Treatment
8580,NCT01859000,Treatment
8594,NCT03581136,Treatment
8596,NCT03277573,Treatment
8608,NCT01752608,Treatment
1353,NCT00673465,Treatment
1359,NCT02867059,Treatment
8605,NCT00046813,Treatment
1357,NCT02979613,Treatment
6382,NCT00048321,Treatment
1355,NCT00417599,Treatment
1354,NCT00494260,Treatment
1352,NCT03788408,Treatment
8598,NCT03051997,Treatment
1351,NCT00505414,Treatment
8606,NCT00407615,Treatment
1349,NCT01992172,Treatment
1348,NCT00001723,Treatment
8607,NCT00228046,Treatment
1346,NCT01278862,Treatment
1360,NCT00191282,Treatment
5620,NCT01291277,Treatment
1362,NCT04163172,Treatment
1363,NCT00965302,Treatment
8603,NCT01237106,Treatment
1365,NCT02015390,Treatment
8602,NCT01359319,Treatment
1367,NCT02867358,Treatment
1368,NCT00857662,Treatment
8601,NCT04234568,Treatment
6383,NCT02145299,Treatment
6384,NCT04180020,Treatment
1372,NCT03479541,Treatment
1373,NCT00414011,Treatment
1374,NCT03969654,Treatment
6385,NCT01100658,Treatment
1376,NCT00299741,Treatment
5646,NCT01145209,Treatment
8630,NCT01979055,Treatment
1272,NCT00751127,Treatment
5683,NCT00923936,Treatment
8665,NCT02344537,Treatment
5680,NCT03350217,Treatment
8667,NCT01773239,Treatment
1181,NCT02543931,Treatment
8668,NCT03456804,Treatment
6352,NCT02626611,Treatment
8669,NCT01505868,Treatment
1169,NCT01161095,Treatment
1176,NCT02941042,Treatment
1175,NCT02891421,Treatment
1174,NCT01241136,Treatment
8670,NCT00678769,Treatment
5684,NCT02175329,Treatment
5685,NCT03933085,Treatment
5679,NCT00722761,Treatment
5677,NCT00681993,Treatment
8663,NCT00939055,Treatment
1188,NCT01333488,Treatment
8662,NCT01208142,Treatment
6353,NCT00482612,Treatment
1191,NCT01498640,Treatment
5674,NCT03913676,Treatment
1193,NCT00704067,Treatment
8659,NCT03592264,Treatment
1195,NCT01308437,Treatment
1196,NCT00996164,Treatment
1197,NCT04507204,Treatment
1198,NCT00277498,Treatment
5673,NCT04296942,Treatment
5672,NCT03813628,Treatment
8658,NCT00948467,Treatment
8672,NCT04230499,Treatment
6351,NCT01892397,Treatment
1271,NCT00859105,Treatment
5691,NCT02244463,Treatment
8683,NCT02086604,Treatment
6349,NCT03005145,Treatment
1147,NCT01538459,Treatment
8684,NCT03315507,Treatment
1145,NCT03291782,Treatment
1144,NCT04026321,Treatment
1142,NCT00049439,Treatment
1167,NCT01570998,Treatment
1141,NCT00414518,Treatment
8685,NCT00002940,Treatment
1139,NCT00154323,Treatment
1138,NCT02627001,Treatment
1137,NCT01540474,Treatment
1136,NCT03906006,Treatment
8682,NCT02352103,Treatment
1151,NCT00170742,Treatment
5689,NCT01343654,Treatment
8681,NCT00963807,Treatment
8680,NCT01902225,Treatment
1155,NCT00996372,Treatment
1156,NCT00154362,Treatment
8679,NCT02513563,Treatment
8678,NCT02829931,Treatment
8677,NCT03071406,Treatment
1160,NCT02455804,Treatment
5687,NCT00722800,Treatment
8676,NCT01515475,Treatment
8675,NCT00885963,Treatment
1164,NCT01427673,Treatment
8674,NCT00764517,Treatment
1166,NCT01532622,Treatment
1202,NCT03807531,Treatment
1203,NCT00644631,Treatment
1204,NCT03674970,Treatment
1247,NCT02383979,Treatment
1253,NCT01663558,Treatment
1252,NCT01668069,Treatment
1251,NCT01715220,Treatment
1250,NCT02105753,Treatment
1249,NCT02130323,Treatment
1248,NCT02378415,Treatment
8641,NCT02726438,Treatment
1205,NCT00002298,Treatment
6360,NCT03255681,Treatment
1244,NCT02418702,Treatment
1243,NCT02875288,Treatment
8642,NCT03502681,Treatment
1241,NCT00558701,Treatment
1240,NCT00593086,Treatment
8640,NCT00766051,Treatment
8638,NCT00619671,Treatment
8636,NCT00779363,Treatment
8635,NCT00833898,Treatment
8634,NCT02019667,Treatment
1259,NCT00002434,Treatment
1260,NCT00002317,Treatment
1261,NCT00002103,Treatment
1262,NCT00002102,Treatment
1263,NCT00143221,Treatment
6361,NCT00590681,Treatment
8632,NCT02088749,Treatment
1266,NCT02679430,Treatment
6362,NCT00088283,Treatment
1268,NCT00328926,Treatment
6364,NCT00518323,Treatment
8631,NCT00151047,Treatment
8643,NCT03932032,Treatment
5658,NCT01365819,Treatment
1237,NCT01241123,Treatment
1220,NCT00130364,Treatment
1206,NCT01888718,Treatment
5670,NCT02262832,Treatment
5668,NCT00080366,Treatment
8657,NCT01749384,Treatment
8656,NCT00422097,Treatment
1211,NCT02064426,Treatment
5667,NCT02836288,Treatment
1213,NCT03310580,Treatment
1214,NCT01161290,Treatment
1215,NCT00143026,Treatment
8655,NCT00882583,Treatment
1217,NCT00183807,Treatment
1218,NCT03491397,Treatment
8654,NCT01222689,Treatment
1221,NCT03030430,Treatment
1236,NCT01241149,Treatment
1222,NCT04349176,Treatment
5664,NCT01744782,Treatment
8652,NCT04305457,Treatment
1225,NCT03302611,Treatment
1226,NCT00713739,Treatment
1227,NCT04530136,Treatment
1228,NCT03940300,Treatment
8651,NCT03229057,Treatment
8650,NCT03003221,Treatment
8649,NCT01733017,Treatment
8648,NCT01468987,Treatment
5662,NCT02287428,Treatment
8644,NCT01257802,Treatment
1235,NCT00723008,Treatment
8579,NCT01428258,Treatment
1393,NCT01632917,Treatment
5604,NCT00401414,Treatment
1569,NCT04127058,Treatment
8502,NCT01174290,Treatment
8506,NCT01490697,Treatment
8508,NCT01182727,Treatment
1572,NCT01618591,Treatment
1571,NCT02846116,Treatment
6445,NCT01678495,Treatment
1568,NCT02209259,Treatment
1560,NCT04054947,Treatment
6443,NCT03552263,Treatment
5538,NCT01160458,Treatment
1565,NCT04253743,Treatment
1564,NCT04283344,Treatment
1563,NCT04316819,Treatment
1562,NCT02016482,Treatment
5535,NCT01466088,Treatment
8500,NCT03841682,Treatment
1578,NCT00672074,Treatment
6446,NCT00481689,Treatment
1580,NCT00378131,Treatment
5531,NCT02362425,Treatment
5530,NCT04036006,Treatment
8496,NCT02508935,Treatment
1584,NCT02858973,Treatment
6447,NCT01786603,Treatment
8495,NCT01236586,Treatment
1587,NCT00183872,Treatment
8492,NCT01245673,Treatment
1589,NCT02877147,Treatment
8491,NCT03778177,Treatment
8488,NCT00063804,Treatment
5528,NCT02592070,Treatment
8509,NCT01239368,Treatment
6438,NCT02784106,Treatment
1525,NCT00183859,Treatment
1534,NCT03566095,Treatment
6434,NCT02991664,Treatment
6429,NCT01875653,Treatment
8527,NCT00723203,Treatment
8530,NCT00511901,Treatment
5552,NCT01448291,Treatment
1535,NCT00257816,Treatment
8532,NCT01439750,Treatment
8510,NCT04473729,Treatment
1532,NCT03395964,Treatment
5553,NCT03253744,Treatment
1530,NCT00844532,Treatment
1529,NCT03912194,Treatment
1528,NCT00264758,Treatment
1527,NCT01908205,Treatment
5547,NCT01956058,Treatment
1542,NCT00667147,Treatment
8577,NCT00749944,Treatment
1544,NCT04382625,Treatment
8522,NCT03581877,Treatment
6435,NCT02888912,Treatment
6436,NCT04182529,Treatment
8519,NCT03372811,Treatment
1549,NCT02617940,Treatment
1550,NCT02963376,Treatment
8517,NCT01240993,Treatment
1552,NCT02911285,Treatment
5542,NCT02346162,Treatment
1554,NCT02955238,Treatment
5541,NCT01402674,Treatment
8516,NCT02133209,Treatment
8515,NCT01352286,Treatment
8484,NCT01790438,Treatment
5527,NCT04592978,Treatment
6448,NCT00451867,Treatment
8447,NCT04294264,Treatment
5512,NCT04567238,Treatment
8443,NCT00775788,Treatment
8445,NCT01527955,Treatment
1642,NCT01640171,Treatment
1641,NCT00585104,Treatment
1640,NCT03756025,Treatment
8448,NCT04253483,Treatment
5525,NCT01443728,Treatment
8449,NCT03937687,Treatment
6457,NCT02473926,Treatment
1634,NCT02443090,Treatment
5515,NCT02759744,Treatment
1632,NCT04504019,Treatment
8452,NCT02295540,Treatment
6460,NCT02276118,Treatment
1647,NCT01489644,Treatment
8441,NCT00621530,Treatment
6461,NCT00856999,Treatment
5507,NCT02335905,Treatment
1651,NCT01043510,Treatment
8437,NCT00679289,Treatment
6462,NCT03733626,Treatment
8435,NCT02802774,Treatment
1655,NCT01205776,Treatment
5505,NCT03716440,Treatment
1657,NCT04550455,Treatment
8433,NCT01552213,Treatment
1659,NCT01966718,Treatment
1660,NCT01490658,Treatment
1661,NCT03659656,Treatment
1662,NCT04335812,Treatment
8454,NCT01001429,Treatment
1629,NCT01809639,Treatment
1628,NCT00722124,Treatment
8463,NCT01244568,Treatment
1597,NCT00320970,Treatment
5524,NCT03517397,Treatment
1599,NCT00116428,Treatment
5522,NCT01243437,Treatment
6451,NCT00782353,Treatment
6453,NCT04579198,Treatment
1603,NCT02963935,Treatment
5519,NCT01553461,Treatment
1605,NCT02142712,Treatment
8469,NCT00760383,Treatment
8467,NCT01582451,Treatment
1608,NCT03588364,Treatment
8466,NCT00574769,Treatment
8465,NCT00408200,Treatment
1612,NCT00715026,Treatment
1627,NCT00065988,Treatment
8462,NCT03900754,Treatment
5518,NCT01110005,Treatment
8460,NCT02321644,Treatment
1616,NCT03866434,Treatment
8459,NCT04309370,Treatment
1618,NCT02596399,Treatment
6455,NCT04219540,Treatment
1620,NCT01725087,Treatment
1621,NCT04049162,Treatment
8458,NCT02399215,Treatment
8457,NCT02621944,Treatment
6456,NCT02461771,Treatment
1625,NCT00606658,Treatment
8455,NCT00496366,Treatment
5554,NCT01147120,Treatment
1543,NCT00598247,Treatment
1466,NCT00880035,Treatment
1465,NCT00694174,Treatment
8560,NCT02656212,Treatment
6406,NCT00168090,Treatment
1453,NCT04218747,Treatment
6407,NCT00108862,Treatment
1455,NCT01342029,Treatment
1456,NCT03400475,Treatment
8554,NCT00268242,Treatment
8553,NCT03135249,Treatment
6408,NCT03516773,Treatment
1460,NCT02984943,Treatment
8552,NCT01710358,Treatment
8551,NCT01711359,Treatment
8550,NCT01839396,Treatment
1464,NCT00805948,Treatment
1524,NCT00159471,Treatment
6413,NCT04329754,Treatment
1467,NCT01093885,Treatment
1468,NCT00938405,Treatment
5576,NCT02359994,Treatment
8549,NCT01721057,Treatment
8548,NCT04231851,Treatment
8547,NCT01588457,Treatment
6409,NCT02525432,Treatment
8546,NCT01028911,Treatment
5574,NCT03478865,Treatment
6410,NCT00937170,Treatment
8545,NCT04580810,Treatment
6412,NCT03783702,Treatment
1479,NCT01858428,Treatment
1480,NCT00916695,Treatment
8561,NCT03622697,Treatment
1449,NCT00642603,Treatment
1448,NCT00509444,Treatment
1447,NCT00764322,Treatment
8576,NCT02553161,Treatment
8574,NCT03483441,Treatment
8573,NCT03574974,Treatment
6395,NCT03857672,Treatment
1420,NCT02419157,Treatment
1421,NCT02394457,Treatment
1422,NCT01092910,Treatment
5602,NCT01134510,Treatment
6396,NCT02658877,Treatment
5600,NCT04170803,Treatment
6397,NCT03106116,Treatment
5598,NCT00821236,Treatment
6398,NCT03953300,Treatment
5594,NCT02600819,Treatment
5593,NCT03478878,Treatment
6401,NCT00031499,Treatment
1433,NCT01264952,Treatment
8570,NCT02133846,Treatment
5591,NCT03552978,Treatment
6402,NCT02232659,Treatment
6404,NCT01491919,Treatment
5586,NCT00923728,Treatment
6405,NCT01083654,Treatment
8566,NCT02187055,Treatment
5583,NCT03612271,Treatment
5582,NCT02364518,Treatment
5581,NCT03671655,Treatment
1445,NCT00271999,Treatment
8562,NCT01975857,Treatment
5571,NCT02360007,Treatment
7027,NCT01500434,Treatment
1514,NCT00183885,Treatment
1508,NCT00971633,Treatment
1517,NCT01538745,Treatment
8543,NCT03674944,Treatment
1492,NCT03155841,Treatment
8535,NCT00626457,Treatment
8538,NCT04170062,Treatment
8539,NCT03745040,Treatment
6424,NCT00021814,Treatment
8542,NCT00981253,Treatment
1499,NCT00691184,Treatment
5555,NCT01211418,Treatment
1509,NCT00159484,Treatment
6417,NCT00999804,Treatment
1498,NCT01494350,Treatment
1495,NCT00881478,Treatment
1496,NCT02348853,Treatment
6420,NCT02977039,Treatment
5559,NCT03429322,Treatment
1510,NCT00183846,Treatment
8537,NCT02328690,Treatment
6416,NCT03311126,Treatment
1519,NCT00183898,Treatment
5560,NCT01157117,Treatment
5568,NCT01992874,Treatment
1507,NCT02601092,Treatment
5569,NCT02938130,Treatment
1522,NCT00159432,Treatment
1521,NCT00159445,Treatment
1520,NCT00183742,Treatment
1486,NCT02424383,Treatment
1523,NCT00183911,Treatment
1487,NCT01714531,Treatment
1506,NCT01651533,Treatment
5566,NCT00473642,Treatment
6415,NCT01625221,Treatment
1505,NCT01047735,Treatment
6459,NCT02273206,Supportive Care
6684,NCT03619369,Supportive Care
5415,NCT00948701,Supportive Care
6861,NCT03682263,Supportive Care
5998,NCT03873610,Supportive Care
6670,NCT00430313,Supportive Care
6894,NCT02118454,Supportive Care
6166,NCT00541164,Supportive Care
5950,NCT03526146,Supportive Care
4701,NCT04246528,Supportive Care
6547,NCT03539315,Supportive Care
6366,NCT00458510,Supportive Care
6550,NCT04495686,Supportive Care
4947,NCT03908255,Supportive Care
6010,NCT03621085,Supportive Care
4945,NCT03272438,Supportive Care
5103,NCT03724487,Supportive Care
6716,NCT01184547,Supportive Care
5269,NCT04250779,Supportive Care
6517,NCT02207803,Supportive Care
6290,NCT03295695,Supportive Care
5009,NCT00491660,Supportive Care
6884,NCT03039465,Supportive Care
5556,NCT02927821,Supportive Care
6883,NCT03137953,Supportive Care
5597,NCT03071744,Supportive Care
6339,NCT03831321,Supportive Care
6551,NCT03409575,Supportive Care
5893,NCT03453554,Supportive Care
6425,NCT01251523,Supportive Care
5558,NCT03020719,Supportive Care
5098,NCT03741335,Supportive Care
5736,NCT02147522,Supportive Care
5334,NCT03646084,Supportive Care
4597,NCT03655587,Supportive Care
6844,NCT00693563,Supportive Care
4799,NCT04414371,Supportive Care
5340,NCT03811847,Supportive Care
5341,NCT03122301,Supportive Care
4818,NCT03068117,Supportive Care
5716,NCT02352116,Supportive Care
5246,NCT01893112,Supportive Care
5390,NCT01844492,Supportive Care
5345,NCT01143194,Supportive Care
6874,NCT02796339,Supportive Care
6240,NCT02421666,Supportive Care
6966,NCT01119001,Supportive Care
5567,NCT02907983,Supportive Care
5356,NCT02609529,Supportive Care
5082,NCT04300699,Supportive Care
6644,NCT01739803,Supportive Care
5975,NCT04587583,Supportive Care
5350,NCT03683147,Supportive Care
6161,NCT00589966,Supportive Care
4734,NCT03914781,Supportive Care
4640,NCT01511939,Supportive Care
5339,NCT03465813,Supportive Care
5989,NCT04136548,Supportive Care
6326,NCT02338024,Supportive Care
5710,NCT02206893,Supportive Care
5580,NCT03194906,Supportive Care
4840,NCT03940209,Supportive Care
6026,NCT03230903,Supportive Care
4555,NCT01747889,Supportive Care
4600,NCT03953924,Supportive Care
6108,NCT01419613,Supportive Care
4758,NCT03327103,Supportive Care
4631,NCT01700517,Supportive Care
6029,NCT03197675,Supportive Care
6145,NCT00815672,Supportive Care
5277,NCT03177447,Supportive Care
4789,NCT02856217,Supportive Care
6612,NCT02144441,Supportive Care
6871,NCT03649191,Supportive Care
5411,NCT04313049,Supportive Care
6901,NCT02263001,Supportive Care
6995,NCT02807506,Supportive Care
6964,NCT01387100,Supportive Care
4884,NCT04517006,Supportive Care
5000,NCT02270164,Supportive Care
8737,NCT03126981,Supportive Care
9376,NCT04251988,Supportive Care
7992,NCT00369785,Supportive Care
7872,NCT04027218,Supportive Care
3626,NCT01188070,Supportive Care
9342,NCT04279587,Supportive Care
7988,NCT01980979,Supportive Care
4128,NCT03481894,Supportive Care
2772,NCT00986115,Supportive Care
7433,NCT01654094,Supportive Care
7980,NCT00775645,Supportive Care
9319,NCT04300478,Supportive Care
8281,NCT02551640,Supportive Care
9308,NCT04306211,Supportive Care
8820,NCT01330420,Supportive Care
2552,NCT03196999,Supportive Care
4114,NCT02840877,Supportive Care
9298,NCT04317417,Supportive Care
9287,NCT04323176,Supportive Care
7976,NCT00880191,Supportive Care
4112,NCT03606655,Supportive Care
9272,NCT04337021,Supportive Care
9263,NCT04342728,Supportive Care
9262,NCT04342871,Supportive Care
3665,NCT04009070,Supportive Care
9250,NCT04354454,Supportive Care
8294,NCT03280836,Supportive Care
9237,NCT04368364,Supportive Care
3669,NCT01951417,Supportive Care
8842,NCT03592771,Supportive Care
4094,NCT03422276,Supportive Care
9362,NCT04262180,Supportive Care
2778,NCT02593032,Supportive Care
9210,NCT04388748,Supportive Care
7994,NCT03537729,Supportive Care
8013,NCT02193984,Supportive Care
2832,NCT02606396,Supportive Care
7915,NCT00956813,Supportive Care
2468,NCT04496804,Supportive Care
8738,NCT02896010,Supportive Care
8011,NCT03896165,Supportive Care
9489,NCT04145791,Supportive Care
8754,NCT03183050,Supportive Care
9488,NCT04145895,Supportive Care
9484,NCT04150848,Supportive Care
3563,NCT03786471,Supportive Care
8391,NCT02860442,Supportive Care
3577,NCT01389726,Supportive Care
9460,NCT04180540,Supportive Care
9458,NCT04183504,Supportive Care
2481,NCT02529150,Supportive Care
8759,NCT00983892,Supportive Care
1739,NCT03054597,Supportive Care
9437,NCT04207437,Supportive Care
3583,NCT04428112,Supportive Care
