,NCTId,ArmGroupLabel,,,,,,NCTId,ArmGroupLabel
1448,NCT03465514,-,,,,,,NCT01700764,0
1447,NCT03467204,-,,,,,,NCT01697813,0
1446,NCT03477370,-,,,,,,NCT01697774,0
1445,NCT03482297,-,,,,,,NCT01674400,0
1444,NCT03488238,-,,,,,,NCT01670006,0
1335,NCT04008836,-,,,,,,NCT01662479,0
1292,NCT04136158,-,,,,,,NCT01660113,0
1333,NCT04030702,-,,,,,,NCT01658189,0
1205,NCT04469218,-,,,,,,NCT01652846,0
1214,NCT04403542,-,,,,,,NCT01643200,0
1213,NCT04409158,-,,,,,,NCT01640795,0
1212,NCT04419714,-,,,,,,NCT01630707,0
1211,NCT04422990,-,,,,,,NCT01629836,0
1210,NCT04437615,-,,,,,,NCT01627405,0
1209,NCT04450108,-,,,,,,NCT01614925,0
1208,NCT04455854,-,,,,,,NCT01613742,0
1207,NCT04455997,-,,,,,,NCT01610505,0
1206,NCT04466930,-,,,,,,NCT01610349,0
1204,NCT04474054,-,,,,,,NCT01607606,0
1239,NCT04299009,-,,,,,,NCT01604967,0
1203,NCT04476784,-,,,,,,NCT01597271,0
1202,NCT04483791,-,,,,,,NCT01591369,0
1201,NCT04488666,-,,,,,,NCT01582386,0
1200,NCT04493021,-,,,,,,NCT01575210,0
1199,NCT04496752,-,,,,,,NCT01564589,0
1198,NCT04499521,-,,,,,,NCT01560156,0
1197,NCT04500821,-,,,,,,NCT01558609,0
1196,NCT04501146,-,,,,,,NCT01556750,0
1195,NCT04502758,-,,,,,,NCT01546831,0
1215,NCT04400643,-,,,,,,NCT01546584,0
1216,NCT04394546,-,,,,,,NCT01533831,0
1217,NCT04388787,-,,,,,,NCT01533103,0
1218,NCT04388722,-,,,,,,NCT01532752,0
1237,NCT04303273,-,,,,,,NCT01532440,0
1236,NCT04305119,-,,,,,,NCT01524263,0
1235,NCT04306744,-,,,,,,NCT01515618,0
1234,NCT04307446,-,,,,,,NCT01513512,0
1233,NCT04310566,-,,,,,,NCT01499030,0
1232,NCT04313725,-,,,,,,NCT01494376,0
1231,NCT04314700,-,,,,,,NCT01480570,0
1230,NCT04314947,-,,,,,,NCT01476826,0
1229,NCT04318132,-,,,,,,NCT01473134,0
1228,NCT04319887,-,,,,,,NCT01470079,0
1227,NCT04320823,-,,,,,,NCT01464580,0
1226,NCT04324593,-,,,,,,NCT01463618,0
1225,NCT04330001,-,,,,,,NCT01462955,0
1224,NCT04332640,-,,,,,,NCT01450540,0
1223,NCT04335981,-,,,,,,NCT01443299,0
1222,NCT04338971,-,,,,,,NCT01443286,0
1221,NCT04377438,-,,,,,,NCT01442389,0
1220,NCT04378764,-,,,,,,NCT01436669,0
1219,NCT04386785,-,,,,,,NCT01436461,0
1194,NCT04508335,-,,,,,,NCT01414491,0
1193,NCT04510857,-,,,,,,NCT01414270,0
1192,NCT04513574,-,,,,,,NCT01412112,0
1169,NCT04569253,-,,,,,,NCT01408017,0
1167,NCT04577898,-,,,,,,NCT01403584,0
1166,NCT04584099,-,,,,,,NCT01392261,0
1165,NCT04584788,-,,,,,,NCT01379794,0
1164,NCT04585646,-,,,,,,NCT01374243,0
1163,NCT04586205,-,,,,,,NCT01370785,0
1162,NCT04589507,-,,,,,,NCT01367171,0
1161,NCT04593875,-,,,,,,NCT01365689,0
1160,NCT04599907,-,,,,,,NCT01358682,0
1159,NCT04600856,-,,,,,,NCT01336868,0
1158,NCT04601103,-,,,,,,NCT01313351,0
20,NCT02889263,-,,,,,,NCT01313195,0
1156,NCT03346603,-,,,,,,NCT01311726,0
23,NCT02153996,-,,,,,,NCT01307709,0
1149,NCT02988934,-,,,,,,NCT01297751,0
37,NCT04047316,-,,,,,,NCT01286792,0
38,NCT03952364,-,,,,,,NCT01258400,0
50,NCT03274726,-,,,,,,NCT01246115,0
51,NCT01283828,-,,,,,,NCT01240733,0
61,NCT03192891,-,,,,,,NCT01239576,0
1168,NCT04577456,-,,,,,,NCT01234480,0
1170,NCT04567186,-,,,,,,NCT01230398,0
1191,NCT04523545,-,,,,,,NCT01201889,0
1171,NCT04562532,-,,,,,,NCT01194752,0
1190,NCT04524247,-,,,,,,NCT01194739,0
1189,NCT04529109,-,,,,,,NCT01194726,0
1188,NCT04529616,-,,,,,,NCT01183195,0
1187,NCT04532099,-,,,,,,NCT01180257,0
1186,NCT04534764,-,,,,,,NCT01171066,0
1185,NCT04536168,-,,,,,,NCT01166607,0
1184,NCT04537013,-,,,,,,NCT01164527,0
1183,NCT04540913,-,,,,,,NCT01158963,0
1182,NCT04542525,-,,,,,,NCT01150227,0
1181,NCT04544670,-,,,,,,NCT01148251,0
1180,NCT04547712,-,,,,,,NCT01147094,0
1179,NCT04547920,-,,,,,,NCT01145651,0
1178,NCT04556474,-,,,,,,NCT01145378,0
1177,NCT04556968,-,,,,,,NCT01143116,0
1176,NCT04557891,-,,,,,,NCT01140919,0
1175,NCT04557917,-,,,,,,NCT01127347,0
1174,NCT04558047,-,,,,,,NCT01112475,0
1173,NCT04558632,-,,,,,,NCT01108822,0
1172,NCT04558970,-,,,,,,NCT01106222,0
1238,NCT04299386,-,,,,,,NCT01103869,0
1240,NCT04298359,-,,,,,,NCT01100983,0
1332,NCT04031976,-,,,,,,NCT01098682,0
1299,NCT04116866,-,,,,,,NCT01097824,0
1308,NCT04082078,-,,,,,,NCT01092871,0
1307,NCT04083742,-,,,,,,NCT01077141,0
1306,NCT04085328,-,,,,,,NCT01070992,0
1305,NCT04087395,-,,,,,,NCT01067040,0
1304,NCT04096495,-,,,,,,NCT01062464,0
1303,NCT04106934,-,,,,,,NCT01062412,0
1302,NCT04112134,-,,,,,,NCT01062217,0
1301,NCT04112628,-,,,,,,NCT01057134,0
1300,NCT04112784,-,,,,,,NCT01043497,0
1298,NCT04116879,-,,,,,,NCT01039064,0
1241,NCT04296773,-,,,,,,NCT01037439,0
1297,NCT04119609,-,,,,,,NCT01030588,0
1296,NCT04121754,-,,,,,,NCT01029028,0
1295,NCT04127188,-,,,,,,NCT01022554,0
1294,NCT04130490,-,,,,,,NCT01016236,0
1293,NCT04134286,-,,,,,,NCT01008202,0
1291,NCT04141007,-,,,,,,NCT01000454,0
1290,NCT04151290,-,,,,,,NCT00993772,0
1289,NCT04151992,-,,,,,,NCT00990483,0
1288,NCT04152642,-,,,,,,NCT00990210,0
1309,NCT04081727,-,,,,,,NCT00986908,0
1310,NCT04079842,-,,,,,,NCT00981188,0
1311,NCT04079816,-,,,,,,NCT00979498,0
1312,NCT04078490,-,,,,,,NCT00979030,0
1331,NCT04031989,-,,,,,,NCT00969748,0
1330,NCT04032977,-,,,,,,NCT00968474,0
1329,NCT04033315,-,,,,,,NCT00961519,0
1328,NCT04035161,-,,,,,,NCT00960947,0
1327,NCT04036747,-,,,,,,NCT00957632,0
1326,NCT04040933,-,,,,,,NCT00957138,0
1325,NCT04043234,-,,,,,,NCT00956618,0
1324,NCT04046627,-,,,,,,NCT00955331,0
1323,NCT04054401,-,,,,,,NCT00946075,0
1322,NCT04055324,-,,,,,,NCT00944411,0
1321,NCT04055519,-,,,,,,NCT00942942,0
1320,NCT04056494,-,,,,,,NCT00935974,0
1319,NCT04057105,-,,,,,,NCT00932789,0
1318,NCT04060524,-,,,,,,NCT00924716,0
1317,NCT04064606,-,,,,,,NCT00911040,0
1316,NCT04065659,-,,,,,,NCT00906958,0
1315,NCT04068818,-,,,,,,NCT00906815,0
1314,NCT04069585,-,,,,,,NCT00906009,0
1313,NCT04073823,-,,,,,,NCT00905749,0
1287,NCT04153292,-,,,,,,NCT00903058,0
1286,NCT04158466,-,,,,,,NCT00901667,0
1285,NCT04162652,-,,,,,,NCT00900705,0
1262,NCT04211441,-,,,,,,NCT00889746,0
1260,NCT04220060,-,,,,,,NCT00878982,0
1259,NCT04223609,-,,,,,,NCT00877916,0
1258,NCT04224155,-,,,,,,NCT00865930,0
1257,NCT04230486,-,,,,,,NCT00865735,0
1256,NCT04236869,-,,,,,,NCT00863486,0
1255,NCT04237207,-,,,,,,NCT00863447,0
1254,NCT04239885,-,,,,,,NCT00858091,0
1253,NCT04243239,-,,,,,,NCT00850434,0
1252,NCT04243369,-,,,,,,NCT00850109,0
1251,NCT04244357,-,,,,,,NCT00846820,0
1250,NCT04247581,-,,,,,,NCT00843752,0
1249,NCT04252183,-,,,,,,NCT00840619,0
1248,NCT04263532,-,,,,,,NCT00824018,0
1247,NCT04277455,-,,,,,,NCT00821769,0
1246,NCT04279522,-,,,,,,NCT00820040,0
1245,NCT04281940,-,,,,,,NCT00819130,0
1244,NCT04285541,-,,,,,,NCT00818922,0
1243,NCT04287036,-,,,,,,NCT00810498,0
1242,NCT04295499,-,,,,,,NCT00810459,0
1261,NCT04219891,-,,,,,,NCT00809406,0
1263,NCT04210622,-,,,,,,NCT00806052,0
1284,NCT04166032,-,,,,,,NCT00802750,0
1264,NCT04207749,-,,,,,,NCT00800891,0
1283,NCT04175340,-,,,,,,NCT00799981,0
1282,NCT04176965,-,,,,,,NCT00794534,0
1281,NCT04177212,-,,,,,,NCT00791414,0
1280,NCT04177771,-,,,,,,NCT00790621,0
1279,NCT04178720,-,,,,,,NCT00789334,0
1278,NCT04184973,-,,,,,,NCT00788450,0
1277,NCT04186806,-,,,,,,NCT00788437,0
1276,NCT04189081,-,,,,,,NCT00782119,0
1275,NCT04189913,-,,,,,,NCT00781651,0
1274,NCT04192630,-,,,,,,NCT00781222,0
1273,NCT04194307,-,,,,,,NCT00780065,0
1272,NCT04195581,-,,,,,,NCT00779623,0
1271,NCT04196907,-,,,,,,NCT00777283,0
1270,NCT04200898,-,,,,,,NCT00776893,0
1269,NCT04201340,-,,,,,,NCT00776815,0
1268,NCT04202419,-,,,,,,NCT00776152,0
1267,NCT04203745,-,,,,,,NCT00773903,0
1266,NCT04206384,-,,,,,,NCT00773721,0
1265,NCT04206839,-,,,,,,NCT00769340,0
1518,NCT03127501,-,,,,,,NCT00767910,0
309,NCT04081727,-,,,,,,NCT00766727,0
1520,NCT03125135,-,,,,,,NCT00764491,0
1521,NCT03125122,-,,,,,,NCT00764452,0
1848,NCT01103869,-,,,,,,NCT00760643,0
1847,NCT01106222,-,,,,,,NCT00759694,0
1846,NCT01108822,-,,,,,,NCT00758979,0
1845,NCT01112475,-,,,,,,NCT00758875,0
1844,NCT01127347,-,,,,,,NCT00758095,0
1843,NCT01140919,-,,,,,,NCT00756496,0
1842,NCT01143116,-,,,,,,NCT00754598,0
1841,NCT01145378,-,,,,,,NCT00748917,0
1840,NCT01145651,-,,,,,,NCT00748033,0
1839,NCT01147094,-,,,,,,NCT00747266,0
1838,NCT01148251,-,,,,,,NCT00739245,0
1837,NCT01150227,-,,,,,,NCT00732264,0
1836,NCT01158963,-,,,,,,NCT00732134,0
1835,NCT01164527,-,,,,,,NCT00728702,0
1834,NCT01166607,-,,,,,,NCT00727805,0
1833,NCT01171066,-,,,,,,NCT00727688,0
1832,NCT01180257,-,,,,,,NCT00726297,0
1831,NCT01183195,-,,,,,,NCT00726024,0
1830,NCT01194726,-,,,,,,NCT00725816,0
1829,NCT01194739,-,,,,,,NCT00725699,0
1828,NCT01194752,-,,,,,,NCT00716313,0
1827,NCT01201889,-,,,,,,NCT00690742,0
1826,NCT01230398,-,,,,,,NCT00681057,0
1825,NCT01234480,-,,,,,,NCT00680251,0
1824,NCT01239576,-,,,,,,NCT00678808,0
1823,NCT01240733,-,,,,,,NCT00676546,0
1822,NCT01246115,-,,,,,,NCT00676078,0
1849,NCT01100983,-,,,,,,NCT00670137,0
1850,NCT01098682,-,,,,,,NCT00660556,0
1851,NCT01097824,-,,,,,,NCT00659139,0
1866,NCT01016236,-,,,,,,NCT00653211,0
1878,NCT00961519,-,,,,,,NCT00639340,0
1877,NCT00968474,-,,,,,,NCT00630526,0
1876,NCT00969748,-,,,,,,NCT00617630,0
1875,NCT00979030,-,,,,,,NCT00617162,0
1874,NCT00979498,-,,,,,,NCT00616226,0
1873,NCT00981188,-,,,,,,NCT00615342,0
1872,NCT00986908,-,,,,,,NCT00608647,0
1871,NCT00990210,-,,,,,,NCT00597571,0
1870,NCT00990483,-,,,,,,NCT00591513,0
1869,NCT00993772,-,,,,,,NCT00589069,0
1868,NCT01000454,-,,,,,,NCT00588601,0
1867,NCT01008202,-,,,,,,NCT00587613,0
1865,NCT01022554,-,,,,,,NCT00587509,0
1852,NCT01092871,-,,,,,,NCT00586456,0
1864,NCT01029028,-,,,,,,NCT00579176,0
1863,NCT01030588,-,,,,,,NCT00578513,0
1862,NCT01037439,-,,,,,,NCT00578487,0
1861,NCT01039064,-,,,,,,NCT00576953,0
1860,NCT01043497,-,,,,,,NCT00561847,0
1859,NCT01057134,-,,,,,,NCT00542477,0
1858,NCT01062217,-,,,,,,NCT00529685,0
1857,NCT01062412,-,,,,,,NCT00506220,0
1856,NCT01062464,-,,,,,,NCT00448812,0
1855,NCT01067040,-,,,,,,NCT00350259,0
1854,NCT01070992,-,,,,,,NCT04371159,Velieve U.S.
1853,NCT01077141,-,,,,,,NCT04474496,Marshallese in the U.S.
1821,NCT01258400,-,,,,,,NCT02801266,"['Intervention', 'No intervention']"
1820,NCT01286792,-,,,,,,NCT01599390,Influenza Group
1819,NCT01297751,-,,,,,,NCT00312702,"['10µg dose FMP011', '50µg dose FMP011']"
1775,NCT01560156,-,,,,,,NCT00312663,"['10ug dose FMP011', '50ug dose FMP011']"
1787,NCT01499030,-,,,,,,NCT01153880,"['Age <9 months definitive', 'Age <9 months uncertain', '9 months to 6 years', '7 to 18 years', '19 to 65 years', '66 years and older']"
1786,NCT01513512,-,,,,,,NCT02019732,Study Group
1785,NCT01515618,-,,,,,,NCT03972358,Medical menstrual regulation
1784,NCT01524263,-,,,,,,NCT00948233,"['Intervention', 'Standard Care']"
1783,NCT01532440,-,,,,,,NCT00026728,0
1782,NCT01532752,-,,,,,,NCT01211990,0
1781,NCT01533103,-,,,,,,NCT02663219,"['Intervention', 'Control']"
1780,NCT01533831,-,,,,,,NCT00121108,"['2', '1']"
1779,NCT01546584,-,,,,,,NCT01861210,"['Couples Counseling and Testing', 'Individudal Counseling and Testing']"
1778,NCT01546831,-,,,,,,NCT02911155,US Nuclear Medicine Technologist
1777,NCT01556750,-,,,,,,NCT00724867,"['Belimumab 1 mg/kg', 'Belimumab 10 mg/kg']"
1776,NCT01558609,-,,,,,,NCT03973905,"['Pertussis Case Group', 'Control Group']"
1774,NCT01564589,-,,,,,,NCT00340457,"['Cases', 'Controls']"
1789,NCT01480570,-,,,,,,NCT02429284,Patients newly diagnosed with CTEPH
1773,NCT01575210,-,,,,,,NCT02889263,0
1772,NCT01582386,-,,,,,,NCT03995745,"['adherence based financial incentives', 'control']"
1771,NCT01591369,-,,,,,,NCT00928694,"['1', '2']"
1770,NCT01597271,-,,,,,,NCT02153996,0
1769,NCT01604967,-,,,,,,NCT00413673,1
1768,NCT01607606,-,,,,,,NCT03867409,"['Concordant virtual human', 'Dis-concordant virtual human', 'Concordant text', 'Dis-concordant text']"
1767,NCT01610349,-,,,,,,NCT04004260,"['Experimental group', 'Weekly check-in control group']"
1766,NCT01610505,-,,,,,,NCT04205877,Registry Group
1765,NCT01613742,-,,,,,,NCT01262079,"['Group 1: 6-15 years old', 'Group 2: 16-25 years old', 'Group 3: 26-35 years old', 'Group 4: 36-45 years old', 'Group 5: 46-55 years old', 'Group 6: 56-65 years old', 'Group 7: 66-75 years old', 'Group 8: 76-85 years old', 'Group 9: > 85 years old']"
1764,NCT01614925,-,,,,,,NCT00646438,"['1', '2']"
1763,NCT01627405,-,,,,,,NCT00341588,"['Cases', 'Controls']"
1762,NCT01629836,-,,,,,,NCT04562636,"['Environment-focused Meatless Monday messages', 'Health-focused Meatless Monday messages', 'Neutral Message']"
1788,NCT01494376,-,,,,,,NCT03924505,"['Implementation Manual and External Facilitation', 'Implementation Manual - only']"
1790,NCT01476826,-,,,,,,NCT02334462,"['Group 1- Mali', 'Group 1-U.S', 'Group 2- Mali', 'Group 2-U.S', 'Group 3- Mali', 'Group 3- U.S.', 'Group 4- Mali']"
1818,NCT01307709,-,,,,,,NCT03311295,ARTO System
1805,NCT01408017,-,,,,,,NCT03242278,"['NVAF patients receiving 20 mg rivaroxaban', 'NVAF patients receiving 15 mg rivaroxaban']"
1817,NCT01311726,-,,,,,,NCT03683134,"['Mediterranean diet group', 'American Heart Association group']"
1816,NCT01313195,-,,,,,,NCT04047316,0
1815,NCT01313351,-,,,,,,NCT03952364,0
1814,NCT01336868,-,,,,,,NCT04021030,Cognitive Behavioral Therapy (CBT)
1813,NCT01358682,-,,,,,,NCT02959827,Iodinated contrast agents
1812,NCT01365689,-,,,,,,NCT02395536,"['In office Outside walls of hospital', 'Traditional Hospital Setting']"
1811,NCT01367171,-,,,,,,NCT03628235,"['Early stage HDGECs', 'Middle stage HDGECs', 'Late stage HDGECs', 'Companions of early stage HDGECs', 'Companions of middle stage HDGECs', 'Companions of late stage HDGECs']"
1810,NCT01370785,-,,,,,,NCT02787538,"['US-ANSWER-2 decision aid', 'Control group (Online medication guide)']"
1809,NCT01374243,-,,,,,,NCT01290393,"['Exposed vaccinated cohort', 'Non-exposed vaccinated cohort']"
1808,NCT01379794,-,,,,,,NCT04263311,"['Community Health Workers (CHW) treatment group', 'Control group']"
1807,NCT01392261,-,,,,,,NCT00875641,"['HRV cohort', 'Concurrent Control cohort', 'Recent Historical Control cohort']"
1806,NCT01403584,-,,,,,,NCT03199846,"['advanced melanoma patients', 'Ipi monotherapy', 'Ipi + nivo combination therapy', 'Dabrafenib + trametinib combination therapy', 'Pembro monotherapy', 'Nivo monotherapy']"
1804,NCT01412112,-,,,,,,NCT04587245,Physicians
1791,NCT01473134,-,,,,,,NCT02773979,"['Group 1: PfSPZ 51200 sporozoites/Placebo', 'Group 2: PfSPZ 102400 sporozoites/Placebo', 'Group 3: PfSPZ 102400 sporozoites']"
1803,NCT01414270,-,,,,,,NCT03274726,0
1802,NCT01414491,-,,,,,,NCT01283828,0
1801,NCT01436461,-,,,,,,NCT04191824,"['Immediate Return of Results', 'Delayed Return of Results']"
1800,NCT01436669,-,,,,,,NCT03197688,Notapplicable
1799,NCT01442389,-,,,,,,NCT02813577,Lutonix® 035 Drug Coated Balloon PTA Catheter
1798,NCT01443286,-,,,,,,NCT00666380,"['10 ug of FMP010 antigen in 0.5 mL AS01B adjuvant', '50 ug of FMP010 antigen in 0.5 mL AS01B adjuvant']"
1797,NCT01443299,-,,,,,,NCT01287247,"['Cervical Dystonia', 'Blepharospasm']"
1796,NCT01450540,-,,,,,,NCT04163341,"['CETA protocol', 'Enhanced Usual Care']"
1795,NCT01462955,-,,,,,,NCT02987335,"['Lean Diabetes Subjects', 'Type 2 Diabetes Mellitus Subjects', 'Type 1 Diabetes Mellitus Subjects', 'Nondiabetic Subjects']"
1794,NCT01463618,-,,,,,,NCT02867722,Daylight PDT
1793,NCT01464580,-,,,,,,NCT03276637,Healthy Active-Duty Airmen Cohort
1792,NCT01470079,-,,,,,,NCT03192891,0
1879,NCT00960947,-,,,,,,NCT03373045,Cohort of US adults with severe asthma
1880,NCT00957632,-,,,,,,NCT04229212,"['No drainage', 'Drainage']"
1881,NCT00957138,-,,,,,,NCT02848781,"['ICD with Ablation', 'ICD Only', 'Ablation Only (Registry)']"
1956,NCT00732264,-,,,,,,NCT00385047,"['Group A', 'Group B']"
1968,NCT00680251,-,,,,,,NCT02993120,"['Cohort 1', 'Cohort 2', 'Cohort 3']"
1967,NCT00681057,-,,,,,,NCT03045120,"['dasatinib cohort', 'imatinib cohort', 'nilotinib cohort', 'bosutinib cohort']"
1966,NCT00690742,-,,,,,,NCT01154296,"['Rapid HIV Testing w/ Counseling (Group 1)', 'Rapid HIV Testing & Information Only (Group 2)']"
1965,NCT00716313,-,,,,,,NCT02857764,"['Sodium-glucose Co-transporter 2 Inhibitors (SGLT2i) New Users', 'Canagliflozin New Users', 'Dapagliflozin New Users', 'Empagliflozin New Users', 'First-time Non-SGLT2i AHA New Users']"
1964,NCT00725699,-,,,,,,NCT00412568,1
1963,NCT00725816,-,,,,,,NCT03353480,"['Reference', 'Experimental']"
1962,NCT00726024,-,,,,,,NCT00800267,"['Fixed combination of latanoprost 0.005% and timolol 0.5%', 'latanoprost 0.005%', 'Timolol - 0.5%']"
1961,NCT00726297,-,,,,,,NCT00601835,"['Canadian Td Vaccine Group', 'United States Td Vaccine Group']"
1960,NCT00727688,-,,,,,,NCT01087905,"['2 Weeks of Nicotine Patch Only, No CMAC', '2 Weeks of Nicotine Patch Only plus CMAC', '2 Wks Nicotine Patch+Nic Gum, No CMAC', '2 Wks Nicotine Patch+Nic Gum plus CMAC', '6 Weeks of Nicotine Patch Only, No CMAC', '6 Weeks of Nicotine Patch Only plus CMAC', '6 Wks Nicotine Patch+Nic Gum, No CMAC', '6 Wks Nicotine Patch+Nic Gum plus CMAC']"
1959,NCT00727805,-,,,,,,NCT02616198,"['EquiaFil G-coat', 'EquiaFil Fuji Varnish', 'Riva SC G-coat', 'Riva SC Fuji Varnish']"
1958,NCT00728702,-,,,,,,NCT00007540,0
1957,NCT00732134,-,,,,,,NCT02163525,"['Ablation vs Embolization', 'Ablation vs Myomectomy']"
1955,NCT00739245,-,,,,,,NCT03310112,"['4-week MBAT', '2-week MBAT', 'No training control (NTC)']"
1970,NCT00676546,-,,,,,,NCT02766634,"['Filgrastim Hospira (US) followed by U.S.-approved Neupogen®', 'U.S.-approved Neupogen® followed by Filgrastim Hospira (US)']"
1954,NCT00747266,-,,,,,,NCT02971709,"['Shade Sail', 'Unshaded Control']"
1953,NCT00748033,-,,,,,,NCT03801928,"['Ulcerative Colitis', ""Crohn's Disease""]"
1952,NCT00748917,-,,,,,,NCT01641029,pyelonephritis
1951,NCT00754598,-,,,,,,NCT02128542,Sofosbuvir+RBV 12 weeks
1950,NCT00756496,-,,,,,,NCT00573976,0
1949,NCT00758095,-,,,,,,NCT00306007,"['English prenatal', 'Spanish prenatal', 'English abortion clinic', 'Spanish abortion clinic']"
1948,NCT00758875,-,,,,,,NCT02766647,"['Filgrastim Hospira (US) followed by U.S.-approved Neupogen®', 'U.S.-approved Neupogen® followed by Filgrastim Hospira (US)']"
1947,NCT00758979,-,,,,,,NCT04460898,Breast Cancer Patients
1946,NCT00759694,-,,,,,,NCT00413517,0
1945,NCT00760643,-,,,,,,NCT02882100,"['aTIV', 'TIV']"
1944,NCT00764452,-,,,,,,NCT00533975,0
1943,NCT00764491,-,,,,,,NCT02109757,"['Software intervention and education', 'Education only']"
1969,NCT00678808,-,,,,,,NCT00959933,"['1', '2']"
1971,NCT00676078,-,,,,,,NCT00960479,"['1', '2']"
1941,NCT00767910,-,,,,,,NCT03266497,0
1986,NCT00588601,-,,,,,,NCT02207569,CoreValve Evolut R TAVR system
1998,NCT00448812,-,,,,,,NCT02569632,Open Label: MenB-FHbp
1997,NCT00506220,-,,,,,,NCT02069925,"['Early Detection (ED)', 'Usual Detection']"
1996,NCT00529685,-,,,,,,NCT03433131,0
1995,NCT00542477,-,,,,,,NCT02746809,CoreValve Evolut 34R TAVR system
1994,NCT00561847,-,,,,,,NCT00328380,0
1993,NCT00576953,-,,,,,,NCT04552535,"['Second line (2L) afatinib', 'Second line (2L) chemotherapy']"
1992,NCT00578487,-,,,,,,NCT03293875,"['HIV testing promoted by members of the social network', 'Peer network behavioral intervention']"
1991,NCT00578513,-,,,,,,NCT01235260,"['001', '002']"
1990,NCT00579176,-,,,,,,NCT03390660,birth cohorts
1989,NCT00586456,-,,,,,,NCT00837499,"['Mexican Women from Mexico', 'Mexican-American Women in U.S.', 'African-American Women in U.S.']"
1988,NCT00587509,-,,,,,,NCT01629537,"['Placebo', 'Stellate Ganglion Block (SGB)']"
1987,NCT00587613,-,,,,,,NCT00351741,"['High Frequency', 'Conventional']"
1985,NCT00589069,-,,,,,,NCT01965561,"['CRoC', 'AAJT', 'JETT', 'SJT']"
1972,NCT00670137,-,,,,,,NCT01927835,"['Group 1A: Treatment', 'Group 1B: Treatment', 'Group 2A: Treatment', 'Group 2B: Treatment', 'Group 3A: Placebo', 'Group 3B: Placebo']"
1984,NCT00591513,-,,,,,,NCT01704235,Primary health care providers
1983,NCT00597571,-,,,,,,NCT01306266,"['rizatriptan', 'Placebo']"
1982,NCT00608647,-,,,,,,NCT00796315,Doxylamine Succinate (USP)
1981,NCT00615342,-,,,,,,NCT00005463,0
1980,NCT00616226,-,,,,,,NCT03382418,"['Group 1: gp145 C.6980 (high dose)', 'Group 2: gp145 C.6980 (low dose)', 'Group 3: Placebo']"
1979,NCT00617162,-,,,,,,NCT00054743,0
1978,NCT00617630,-,,,,,,NCT00730964,Phase 4
1977,NCT00630526,-,,,,,,NCT02886689,"['1', '2']"
1976,NCT00639340,-,,,,,,NCT00005455,0
1975,NCT00653211,-,,,,,,NCT01150695,"['Group A (DVC-LVS)', 'Group B (USAMRIID-LVS)']"
1974,NCT00659139,-,,,,,,NCT00245076,0
1973,NCT00660556,-,,,,,,NCT00935623,"['Cohort 1', 'Cohort 2']"
1942,NCT00766727,-,,,,,,NCT03688126,"['Self-Guided Lifestyle Intervention', 'Structured Lifestyle Intervention']"
1940,NCT00769340,-,,,,,,NCT02053506,"['Immune-enhancing nutritional beverage', 'Probiotics (BB-12)']"
1882,NCT00956618,-,,,,,,NCT03933215,Cladribine Tablets
1896,NCT00901667,-,,,,,,NCT03933202,Cladribine Tablets
1908,NCT00846820,-,,,,,,NCT00005171,0
1907,NCT00850109,-,,,,,,NCT01256164,"['Fibrocaps + Gelfoam', 'Gelfoam']"
1906,NCT00850434,-,,,,,,NCT03631472,RheOx Treatment
1905,NCT00858091,-,,,,,,NCT03699709,"['Intervention Arm', 'Control Arm']"
1904,NCT00863447,-,,,,,,NCT00237263,0
1903,NCT00863486,-,,,,,,NCT02939131,"['COMB-R', 'Enhanced Standard of Care']"
1902,NCT00865735,-,,,,,,NCT03488264,"['United States', 'Jamaica']"
1901,NCT00865930,-,,,,,,NCT01873482,Movement with rhythm
1900,NCT00877916,-,,,,,,NCT02829073,"['Oasis™ device', 'Placebo device']"
1899,NCT00878982,-,,,,,,NCT01369030,Deplin®
1898,NCT00889746,-,,,,,,NCT01568424,Treatment Group
1897,NCT00900705,-,,,,,,NCT02406599,"['SOC + Device', 'SOC + Additional Inspection']"
1895,NCT00903058,-,,,,,,NCT03965195,"['RIV4', 'IV4']"
1910,NCT00840619,-,,,,,,NCT01368549,Metanx®
1894,NCT00905749,-,,,,,,NCT01370954,CerefolinNAC®
1893,NCT00906009,-,,,,,,NCT01339546,Study population
1892,NCT00906815,-,,,,,,NCT02252159,"['Cohort A', 'Cohort B']"
1891,NCT00906958,-,,,,,,NCT04072289,"['Low cylinder (treatment)', 'Low cylinder (no treatment)']"
1890,NCT00911040,-,,,,,,NCT04423770,U.S. dentists
1889,NCT00924716,-,,,,,,NCT01358552,Néevo®/NéevoDHA®
1888,NCT00932789,-,,,,,,NCT02856646,Population with Condition
1887,NCT00935974,-,,,,,,NCT01940679,"['Fresh meat stick', 'Stored meat stick', 'Fresh pound cake', 'Stored pound cake']"
1886,NCT00942942,-,,,,,,NCT02951598,"['MCI (Amyloid Positive)', 'Mild AD Dementia (Amyloid Positive)', 'MCI (Amyloid Negative)', 'Mild Dementia (Amyloid Negative)']"
1885,NCT00944411,-,,,,,,NCT02988934,0
1884,NCT00946075,-,,,,,,NCT01028300,ProDisc L
1883,NCT00955331,-,,,,,,NCT01034865,"['HCC PTS', 'LD']"
1909,NCT00843752,-,,,,,,NCT02352532,"['Low Back Pain - Dry Needling', 'Low Back Pain - Sham', 'Asymmptomatic - Dry Needling']"
1911,NCT00824018,-,,,,,,NCT03198793,QGC001
